,Skopje,Kumanovo,Bitola,Prilep,Tetovo,Štip,Veles,Ohrid,Strumica,Gostivar,Kočani,Dračevo,Struga,Debar,Kriva Palanka,Negotino,Sveti Nikole,Probištip,Delčevo,Vinica,Aračinovo,Kičevo,Kavadarci,Berovo,Kratovo,Gevgelija,Vrapčište,Radoviš,Kruševo,Čegrane,Makedonski Brod,Demir Kapija,Kučevište,Tearce,Bogdanci,Forino,Rašče,Rosoman,Demir Hisar,Vevčani,Gradsko,Valandovo,Krivogaštani,Pehčevo,Plasnica,Zrnovci,Novaci,Bosilovo,Mogila,Novo Selo,Konče,Rostuša,Jegunovce,Rankovce,Sopište,Obleševo,Vasilevo,Karbinci,Lozovo,Staro Nagoričane,Brvenica,Centar Župa,Dolneni,Belčišta,Čučer-Sandevo,Zelenikovo,Petrovec,Želino,Star Dojran,Studeničani,Bogovinje,Ilinden,Lipkovo,Makedonska Kamenica,Resen
Skopje,0.0,37.7,167.5,120.0,41.3,61.4,58.8,180.4,125.8,63.5,78.9,21.2,184.1,155.3,87.1,83.7,42.5,84.7,123.8,86.8,20.3,125.4,89.1,132.7,87.8,122.2,64.5,91.4,169.8,68.0,152.8,92.9,24.7,52.7,128.0,70.6,25.1,78.2,174.0,197.5,75.1,122.7,148.7,137.4,145.9,83.9,172.9,134.1,160.1,149.1,106.8,134.6,45.2,74.9,13.1,75.2,120.5,72.4,61.0,52.0,43.8,156.3,141.4,168.8,24.0,36.5,22.2,36.7,150.4,26.9,52.6,20.1,41.6,102.3,196.1
Kumanovo,36.7,0.0,164.0,116.5,64.4,54.9,55.3,203.5,119.3,86.6,72.3,32.3,207.2,178.4,53.1,80.2,36.0,76.4,117.2,80.3,24.1,148.5,85.6,126.2,53.8,118.7,87.6,84.9,166.3,91.1,160.8,89.5,41.6,75.8,124.5,93.7,53.2,74.7,170.5,220.6,71.6,119.2,145.2,130.9,169.0,77.4,169.4,127.5,156.7,142.6,100.2,157.8,71.7,41.0,40.5,68.6,113.9,65.9,54.4,18.0,66.9,179.4,137.9,191.9,41.3,36.2,20.6,59.8,146.9,38.9,75.7,24.0,16.3,95.7,192.6
Bitola,157.2,152.9,0.0,52.9,175.9,152.4,122.5,80.9,189.2,153.6,169.8,148.1,92.6,137.9,202.2,111.7,147.1,179.0,214.7,177.8,146.5,90.8,100.5,223.6,193.6,152.5,156.0,176.4,69.5,164.8,95.9,123.3,160.9,188.9,158.4,160.7,172.5,105.3,32.3,105.9,105.5,153.1,54.0,228.4,108.1,174.8,13.4,197.3,14.5,212.4,180.6,137.4,191.0,190.1,161.0,166.1,194.7,163.4,127.5,167.1,176.8,138.9,73.0,103.1,160.6,144.5,136.5,179.1,180.8,149.9,168.6,146.6,165.7,193.2,36.8
Prilep,108.9,104.6,53.0,0.0,135.4,104.1,74.2,125.7,140.9,137.2,121.5,99.8,130.1,132.8,153.9,63.4,98.8,130.7,166.4,129.5,98.3,73.8,52.3,175.4,145.4,104.3,139.6,128.1,50.9,148.5,45.4,75.0,112.6,146.9,110.1,144.4,124.2,57.0,59.5,143.4,57.2,104.8,29.8,180.1,60.4,126.6,58.4,149.1,45.6,164.2,132.3,132.2,142.7,141.8,112.7,117.9,146.4,115.1,79.2,118.8,137.9,133.7,22.5,114.7,112.3,96.2,88.2,130.8,132.5,101.6,146.8,98.3,117.5,144.9,81.6
Tetovo,43.2,66.5,176.2,148.4,0.0,90.2,87.2,145.3,154.6,28.4,107.7,56.9,149.0,120.2,115.9,112.1,71.3,113.5,152.6,115.6,44.9,90.3,117.4,161.5,116.6,150.5,26.5,120.2,158.6,32.9,117.7,121.3,44.3,13.3,156.4,35.5,39.3,106.6,144.1,162.4,103.4,151.1,158.5,166.2,110.8,112.7,185.3,162.9,175.7,177.9,135.6,99.6,19.4,103.7,49.8,104.0,149.3,101.2,89.8,80.8,7.9,121.2,149.6,133.7,43.4,66.7,50.6,11.2,178.8,63.6,14.7,48.9,66.3,131.1,187.8
Štip,61.6,54.2,151.1,103.5,89.2,0.0,43.6,223.8,69.1,111.5,33.2,58.0,232.0,203.3,95.4,65.5,21.3,42.3,78.0,41.1,52.1,173.3,72.6,87.0,57.0,105.7,112.4,34.7,153.3,115.9,147.8,76.5,66.5,100.7,111.5,118.6,78.0,61.8,157.5,245.4,58.6,105.0,132.2,91.7,162.8,38.2,156.5,77.3,143.7,92.4,50.0,182.6,96.5,79.3,65.4,29.5,63.7,13.5,26.6,68.4,91.7,204.2,124.9,216.7,66.1,61.7,46.4,84.7,126.4,64.6,100.6,48.8,67.1,56.5,179.7
Veles,48.1,43.8,118.8,71.3,74.7,41.5,0.0,191.5,105.8,96.9,58.9,39.1,197.6,188.7,93.2,35.0,36.2,68.1,103.8,66.9,37.5,141.3,40.3,112.7,82.7,73.4,97.9,71.5,121.0,101.4,112.9,44.2,51.9,86.1,79.3,104.0,63.4,29.5,125.3,210.9,26.3,74.0,99.9,117.5,127.9,63.9,124.2,114.1,111.4,129.2,86.8,168.0,81.9,81.0,51.9,55.2,100.5,52.5,16.6,58.1,77.1,189.7,92.7,182.2,51.5,35.5,27.4,70.1,101.7,40.9,86.0,37.6,56.7,82.3,147.4
Ohrid,182.5,205.8,79.9,125.6,145.5,225.1,192.3,0.0,261.9,123.2,242.5,196.2,14.1,81.4,255.2,184.4,210.6,251.7,287.4,250.5,184.2,60.4,173.3,296.3,255.8,225.2,125.6,249.1,114.7,134.5,84.6,196.0,183.6,158.5,231.1,130.3,178.6,178.0,100.2,27.5,178.2,225.8,125.5,301.1,77.7,247.5,93.3,270.0,88.8,285.1,253.3,91.3,163.0,243.0,189.1,238.8,267.4,236.1,200.2,220.0,146.5,74.8,116.5,24.7,182.7,206.0,189.9,150.4,253.5,202.8,138.2,188.2,205.6,265.9,44.6
Strumica,120.9,113.6,190.4,142.8,148.6,63.8,103.0,263.1,0.0,170.8,92.5,117.3,271.8,262.6,154.7,81.7,80.7,101.7,99.2,100.5,111.4,215.5,94.2,61.7,116.3,63.2,171.8,37.4,192.6,175.3,187.1,71.2,125.8,160.0,54.2,177.9,137.3,96.5,196.8,285.1,93.0,37.5,171.5,73.0,202.1,97.5,195.8,9.8,183.0,24.9,58.2,241.9,155.9,138.7,124.7,88.8,7.1,76.1,86.0,127.8,151.1,263.6,164.2,256.5,125.5,121.0,105.7,144.0,58.9,124.0,159.9,108.1,126.5,115.9,219.0
Gostivar,63.9,87.2,153.5,136.3,26.9,110.9,107.8,122.6,175.3,0.0,128.3,77.6,126.3,97.5,136.6,132.7,92.0,134.2,173.2,136.3,65.6,67.6,138.1,182.2,137.2,171.2,6.8,140.9,135.8,12.4,95.0,142.0,65.0,39.9,177.0,8.3,60.0,127.2,121.4,139.7,124.1,171.7,135.8,186.9,88.1,133.4,162.6,183.5,153.0,198.6,156.2,76.8,44.4,124.4,70.5,124.6,169.9,121.9,110.4,101.4,27.9,98.5,126.9,111.0,64.1,87.4,71.3,31.8,199.5,84.3,19.4,69.6,87.0,151.7,165.1
